Device Name,Pattern
HP PageWide Web Press T1100S,\b(?:HP\s*)?(?:PageWide|PWP)?(?:\s*Web)?(?:\s*Press)?\s*T1100S(?:s)?(?:\s*HD)?\b
HP PageWide Web Press T240M HD,\b(?:HP\s*)?(?:PageWide|PWP)?(?:\s*Web)?(?:\s*Press)?\s*T240M(?:s)?(?:\s*HD)?\b
HP PageWide Web Press T370 HD,\b(?:HP\s*)?(?:PageWide|PWP)?(?:\s*Web)?(?:\s*Press)?\s*T370(?:s)?(?:\s*HD)?\b
HP PageWide Web Press T380 HD,\b(?:HP\s*)?(?:PageWide|PWP)?(?:\s*Web)?(?:\s*Press)?\s*T380(?:s)?(?:\s*HD)?\b
HP PageWide Web Press T390 HD,\b(?:HP\s*)?(?:PageWide|PWP)?(?:\s*Web)?(?:\s*Press)?\s*T390(?:s)?(?:\s*HD)?\b
HP PageWide Web Press T390M HD,\b(?:HP\s*)?(?:PageWide|PWP)?(?:\s*Web)?(?:\s*Press)?\s*T390M(?:s)?(?:\s*HD)?\b
HP PageWide Web Press T1170,\b(?:HP\s*)?(?:PageWide|PWP)?(?:\s*Web)?(?:\s*Press)?\s*T1170(?:s)?(?:\s*HD)?\b
HP PageWide Web Press T1190,\b(?:HP\s*)?(?:PageWide|PWP)?(?:\s*Web)?(?:\s*Press)?\s*T1190(?:s)?(?:\s*HD)?\b
HP PageWide Web Press T250 HD,\b(?:HP\s*)?(?:PageWide|PWP)?(?:\s*Web)?(?:\s*Press)?\s*T250(?:s)?(?:\s*HD)?\b
HP PageWide Web Press T470S,\b(?:HP\s*)?(?:PageWide|PWP)?(?:\s*Web)?(?:\s*Press)?\s*T470S(?:s)?(?:\s*HD)?\b
HP PageWide A2200,\b(?:HP\s*)?(?:PageWide|PWP)?(?:\s*Web)?(?:\s*Press)?\s*A2200(?:s)?(?:\s*HD)?\b
HP PageWide Web Press T485,\b(?:HP\s*)?(?:PageWide|PWP)?(?:\s*Web)?(?:\s*Press)?\s*T485(?:s)?(?:\s*HD)?\b
