,catalog_number,products
46,CA394-28990,"['HP Indigo 7r Digital Press', 'HP Indigo 7800 Digital Press', 'HP Indigo 7900 Digital Press', 'HP Indigo 7500 Digital Press', 'HP Indigo 7K Digital Press', 'HP Indigo 7000 Digital Press', 'HP Indigo 7600 Digital Press']"
47,CA394-29010,"['HP Indigo 7r Digital Press', 'HP Indigo 7800 Digital Press', 'HP Indigo 7900 Digital Press', 'HP Indigo 7500 Digital Press', 'HP Indigo 7K Digital Press', 'HP Indigo 7000 Digital Press', 'HP Indigo 7600 Digital Press']"
48,CA394-29020,"['HP Indigo 7r Digital Press', 'HP Indigo 7800 Digital Press', 'HP Indigo 7900 Digital Press', 'HP Indigo 7500 Digital Press', 'HP Indigo 7K Digital Press', 'HP Indigo 7000 Digital Press', 'HP Indigo 7600 Digital Press']"
49,CA394-29030,"['HP Indigo 7r Digital Press', 'HP Indigo 7800 Digital Press', 'HP Indigo 7900 Digital Press', 'HP Indigo 7500 Digital Press', 'HP Indigo 7K Digital Press', 'HP Indigo 7000 Digital Press', 'HP Indigo 7600 Digital Press']"
50,CA394-26340,[]
51,CA394-26400,['HP Indigo 5900 Digital Press']
52,CA494-31000,"['HP Indigo 20000 Digital Press', 'HP Indigo 20000 Series Digital Presses']"
53,CA494-30940,"['HP Indigo 20000 Digital Press', 'HP Indigo 20000 Series Digital Presses']"
54,CA494-30980,"['HP Indigo 20000 Digital Press', 'HP Indigo 20000 Series Digital Presses']"
55,CA494-30990,"['HP Indigo 20000 Digital Press', 'HP Indigo 20000 Series Digital Presses']"
56,CA494-30970,"['HP Indigo 20000 Digital Press', 'HP Indigo 20000 Series Digital Presses']"
57,CA394-05352,"['HP Indigo 8000 Digital Press', 'HP Indigo 6000 Series Digital Presses']"
58,CA394-05382,"['HP Indigo 8000 Digital Press', 'HP Indigo 6000 Series Digital Presses']"
59,CA394-05372,"['HP Indigo 8000 Digital Press', 'HP Indigo 6000 Series Digital Presses']"
60,CA394-05392,"['HP Indigo 8000 Digital Press', 'HP Indigo 6000 Series Digital Presses']"
61,CA394-14391,"['HP Indigo 8000 Digital Press', 'HP Indigo 6000 Series Digital Presses']"
62,CA394-05342,"['HP Indigo 8000 Digital Press', 'HP Indigo 6000 Series Digital Presses']"
63,CA394-05332,"['HP Indigo 8000 Digital Press', 'HP Indigo 6000 Series Digital Presses']"
64,CA394-14381,"['HP Indigo 8000 Digital Press', 'HP Indigo 6000 Series Digital Presses']"
65,CA394-29900,"['HP Indigo 7800 Digital Press', 'HP Indigo 7eco Digital Press', 'HP Indigo 7600 Digital Press', 'HP Indigo 7K Digital Press', 'HP Indigo 7900 Digital Press']"
66,CA394-29890,"['HP Indigo 7800 Digital Press', 'HP Indigo 7eco Digital Press', 'HP Indigo 7600 Digital Press', 'HP Indigo 7K Digital Press', 'HP Indigo 7900 Digital Press']"
67,CA394-29910,"['HP Indigo 7K Digital Press', 'HP Indigo 7800 Digital Press', 'HP Indigo 7900 Digital Press', 'HP Indigo 7600 Digital Press']"
68,CA394-29920,"['HP Indigo 7K Digital Press', 'HP Indigo 7900 Digital Press', 'HP Indigo 7eco Digital Press', 'HP Indigo 7600 Digital Press']"
69,CA394-29930,"['HP Indigo 7800 Digital Press', 'HP Indigo 7eco Digital Press', 'HP Indigo 7600 Digital Press', 'HP Indigo 7K Digital Press', 'HP Indigo 7900 Digital Press']"
70,CA394-29940,"['HP Indigo 7800 Digital Press', 'HP Indigo 7eco Digital Press', 'HP Indigo 7600 Digital Press', 'HP Indigo 7K Digital Press', 'HP Indigo 7900 Digital Press']"
71,CA394-29960,"['HP Indigo 7800 Digital Press', 'HP Indigo 7eco Digital Press', 'HP Indigo 7600 Digital Press', 'HP Indigo 7K Digital Press', 'HP Indigo 7900 Digital Press']"
72,CA394-29950,"['HP Indigo 7800 Digital Press', 'HP Indigo 7eco Digital Press', 'HP Indigo 7600 Digital Press', 'HP Indigo 7K Digital Press', 'HP Indigo 7900 Digital Press']"
73,CA394-30100,['HP Indigo 7000 Digital Press']
74,CA394-30130,['HP Indigo 7000 Digital Press']
75,CA394-30140,['HP Indigo 7000 Digital Press']
76,CA394-30150,['HP Indigo 7000 Digital Press']
77,CA394-30170,['HP Indigo 7000 Digital Press']
78,CA394-29270,"['HP Indigo 6800 Series Digital Presses', 'HP Indigo 6900 Digital Press', 'HP Indigo 6K Digital Press', 'HP Indigo 6r Digital Press', 'HP Indigo 6600 Series Digital Presses']"
79,CA394-29280,"['HP Indigo 6900 Digital Press', 'HP Indigo WS6600 Digital Press', 'HP Indigo WS6800 Digital Press', 'HP Indigo 6r Digital Press']"
80,CA394-29290,"['HP Indigo 6800 Series Digital Presses', 'HP Indigo 6900 Digital Press', 'HP Indigo 6K Digital Press', 'HP Indigo 6r Digital Press', 'HP Indigo 6600 Series Digital Presses']"
81,CA394-29300,"['HP Indigo 6800 Series Digital Presses', 'HP Indigo 6900 Digital Press', 'HP Indigo 6K Digital Press', 'HP Indigo 6r Digital Press', 'HP Indigo 6600 Series Digital Presses']"
82,CA394-29310,"['HP Indigo 6800 Series Digital Presses', 'HP Indigo 6900 Digital Press', 'HP Indigo 6K Digital Press', 'HP Indigo 6r Digital Press', 'HP Indigo 6600 Series Digital Presses']"
83,CA394-29320,"['HP Indigo 6800 Series Digital Presses', 'HP Indigo 6900 Digital Press', 'HP Indigo 6K Digital Press', 'HP Indigo 6r Digital Press', 'HP Indigo 6600 Series Digital Presses']"
84,CA394-29330,"['HP Indigo 6900 Digital Press', 'HP Indigo WS6600 Digital Press', 'HP Indigo WS6800 Digital Press', 'HP Indigo 6r Digital Press']"
85,CA394-29340,"['HP Indigo 6800 Series Digital Presses', 'HP Indigo 6900 Digital Press', 'HP Indigo 6K Digital Press', 'HP Indigo 6r Digital Press', 'HP Indigo 6600 Series Digital Presses']"
86,CA394-29350,"['HP Indigo 6900 Digital Press', 'HP Indigo WS6600 Digital Press', 'HP Indigo WS6800 Digital Press', 'HP Indigo 6r Digital Press']"
87,PPC-000010,"['HP Indigo 10000 HD Digital Press', 'HP Indigo 30000 Digital Press', 'HP Indigo 10r Digital Press', 'HP Indigo 12000 HD Digital Press', 'HP Indigo 15K Digital Press', 'HP Indigo 12000 Digital Press', 'HP Indigo 15k HD Digital Press', 'HP Indigo 10000 Digital Press', 'HP Indigo 30000 Series Digital Presses']"
88,PPC-000020,"['HP Indigo 10000 HD Digital Press', 'HP Indigo 30000 Digital Press', 'HP Indigo 10r Digital Press', 'HP Indigo 12000 HD Digital Press', 'HP Indigo 15K Digital Press', 'HP Indigo 12000 Digital Press', 'HP Indigo 15k HD Digital Press', 'HP Indigo 10000 Digital Press', 'HP Indigo 30000 Series Digital Presses']"
89,PPC-000030,"['HP Indigo 10000 HD Digital Press', 'HP Indigo 30000 Digital Press', 'HP Indigo 10r Digital Press', 'HP Indigo 12000 HD Digital Press', 'HP Indigo 15K Digital Press', 'HP Indigo 12000 Digital Press', 'HP Indigo 15k HD Digital Press', 'HP Indigo 10000 Digital Press', 'HP Indigo 30000 Series Digital Presses']"
90,PPC-000040,"['HP Indigo 10000 HD Digital Press', 'HP Indigo 30000 Digital Press', 'HP Indigo 10r Digital Press', 'HP Indigo 12000 HD Digital Press', 'HP Indigo 15K Digital Press', 'HP Indigo 12000 Digital Press', 'HP Indigo 15k HD Digital Press', 'HP Indigo 10000 Digital Press', 'HP Indigo 30000 Series Digital Presses']"
91,PPC-000050,"['HP Indigo 10000 HD Digital Press', 'HP Indigo 30000 Digital Press', 'HP Indigo 10r Digital Press', 'HP Indigo 12000 HD Digital Press', 'HP Indigo 15K Digital Press', 'HP Indigo 12000 Digital Press', 'HP Indigo 15k HD Digital Press', 'HP Indigo 10000 Digital Press', 'HP Indigo 30000 Series Digital Presses']"
92,PPC-000060,"['HP Indigo 30000 Digital Press', 'HP Indigo 35K Digital Press', 'HP Indigo 30000 Series Digital Presses']"
93,PPC-000070,"['HP Indigo 30000 Digital Press', 'HP Indigo 35K Digital Press', 'HP Indigo 30000 Series Digital Presses']"
94,PPC-000080,"['HP Indigo 30000 Digital Press', 'HP Indigo 35K Digital Press', 'HP Indigo 30000 Series Digital Presses']"
95,PPC-000090,"['HP Indigo 10r Digital Press', 'HP Indigo 12000 HD Digital Press', 'HP Indigo 15K Digital Press', 'HP Indigo 100k HD Digital Press', 'HP Indigo 100K Digital Press', 'HP Indigo 12000 Digital Press', 'HP Indigo 15k HD Digital Press']"
96,PPC-000100,"['HP Indigo 100K Digital Press', 'HP Indigo 100k HD Digital Press']"
97,PPC-000110,"['HP Indigo 100K Digital Press', 'HP Indigo 100k HD Digital Press']"
98,PPC-000120,"['HP Indigo 100K Digital Press', 'HP Indigo 100k HD Digital Press']"
99,PPC-000130,"['HP Indigo 100K Digital Press', 'HP Indigo 100k HD Digital Press']"
100,PPC-000140,"['HP Indigo 100K Digital Press', 'HP Indigo 100k HD Digital Press']"
101,PPC-000150,"['HP Indigo 100K Digital Press', 'HP Indigo 100k HD Digital Press']"
102,PPC-000160,"['HP Indigo 100K Digital Press', 'HP Indigo 100k HD Digital Press']"
103,PPC-000170,"['HP Indigo 10000 HD Digital Press', 'HP Indigo 30000 Digital Press', 'HP Indigo 10r Digital Press', 'HP Indigo 15K Digital Press', 'HP Indigo 100k HD Digital Press', 'HP Indigo 100K Digital Press', 'HP Indigo 15k HD Digital Press', 'HP Indigo 35K Digital Press', 'HP Indigo 10000 Digital Press', 'HP Indigo 30000 Series Digital Presses']"
104,PPC-000230,"['HP Indigo 6800 Series Digital Presses', 'HP Indigo 6900 Digital Press', 'HP Indigo 6K Digital Press', 'HP Indigo 6000 Series Digital Presses', 'HP Indigo 6600 Series Digital Presses']"
105,PPC-000240,"['HP Indigo 6800 Series Digital Presses', 'HP Indigo 6900 Digital Press', 'HP Indigo 6K Digital Press', 'HP Indigo 6000 Series Digital Presses', 'HP Indigo 6600 Series Digital Presses']"
106,PPC-000250,"['HP Indigo 6800 Series Digital Presses', 'HP Indigo 6900 Digital Press', 'HP Indigo 6K Digital Press', 'HP Indigo 6000 Series Digital Presses', 'HP Indigo 6600 Series Digital Presses']"
107,PPC-000260,"['HP Indigo 6800 Series Digital Presses', 'HP Indigo 6900 Digital Press', 'HP Indigo 6K Digital Press', 'HP Indigo 6000 Series Digital Presses', 'HP Indigo 6600 Series Digital Presses']"
108,PPC-000270,"['HP Indigo 6800 Series Digital Presses', 'HP Indigo 6900 Digital Press', 'HP Indigo 6K Digital Press', 'HP Indigo 6000 Series Digital Presses', 'HP Indigo 6600 Series Digital Presses']"
