,catalog_number,products
507,CA394-28390,"['6600 ', '6800 ', 'HP Indigo 6900 Digital Press']"
508,CA394-28430,"['6600 ', '6800 ', 'HP Indigo 6900 Digital Press']"
509,CA394-28460,"['6600 ', '6800 ', 'HP Indigo 6900 Digital Press']"
510,CA394-28470,"['6600 ', '6800 ', 'HP Indigo 6900 Digital Press']"
511,CA394-28450,"['6600 ', '6800 ', 'HP Indigo 6900 Digital Press']"
512,CA394-28440,"['6600 ', '6800 ', 'HP Indigo 6900 Digital Press']"
513,CA394-28400,"['6600 ', '6800 ', 'HP Indigo 6900 Digital Press']"
514,CA394-23230,"['6000', '7000']"
515,CA394-23210,"['6000 ', '7000 ']"
516,CA394-23240,['7000']
517,CA394-23290,"['6000', '7000']"
518,CA394-23260,"['6000 ', '7000 ']"
519,CA394-23270,"['6000 ', '7000 ']"
520,CA394-23280,"['6000', '7000']"
521,CA394-23250,['7000']
522,CA394-23220,"['6000 ', '6000', '7000']"
523,CA394-25090,['8K']
524,CA394-25050,['8K']
525,CA394-25060,['8K']
526,CA394-25080,"['HP Indigo 8K Digital Press', 'HP Indigo 8000 Digital Press', '25080', 'HP Indigo 8K Digital Press', 'HP Indigo 8000 Digital Press']"
527,CA394-25030,['8000 ']
528,CA394-27100,"['HP Indigo 6K Digital Press', 'HP Indigo 6900 Digital Press', '6800 ']"
529,CA394-27070,"['HP Indigo 6K Digital Press', 'HP Indigo 6900 Digital Press', '6800 ']"
530,CA394-24610,['8K']
531,CA394-28930,['WS6000']
532,CA394-28860,"['6000 ', '6600 ', '6800 ', 'HP Indigo 6900 Digital Press', 'HP Indigo 6r Digital Press', 'HP Indigo 6K Digital Press']"
533,CA394-28890,[]
534,CA394-28870,"['6000 ', '6600 ', '6800 ', 'HP Indigo 6900 Digital Press', 'HP Indigo 6r Digital Press', 'HP Indigo 6K Digital Press']"
535,CA394-28900,"['7000 ', 'HP Indigo 7500 Digital Press', 'HP Indigo 7600 Digital Press', 'HP Indigo 7800 Digital Press', 'HP Indigo 7900 Digital Press', 'HP Indigo 7r Digital Press', 'HP Indigo 7K Digital Press']"
536,CA394-28130,"['HP Indigo 8000 Digital Press', '8K']"
537,CA394-28230,"['HP Indigo 8000 Digital Press', 'HP Indigo 8K Digital Press', 'HP Indigo 8000 Digital Press', 'HP Indigo 8K Digital Press', 'HP Indigo 8000 Digital Press', 'HP Indigo 8K Digital Press']"
538,CA394-28200,"['HP Indigo 8000 Digital Press', 'HP Indigo 8K Digital Press']"
539,CA494-19980,[]
540,CA394-23120,['7000']
541,CA394-23150,['7000 ']
542,PPC-000410,"['30000', '35K']"
543,PPC-000220,"['10000', '10r', '12000', '12000HD', '20000', '25K', '30000']"
544,PPC-000210,"['10000', '10r', '12000', '12000HD', '20000', '25K', '30000']"
545,PPC-000180,['100K ']
546,PPC-000190,"['10000', '10r', '12000', '12000HD', '20000', '30000', '15K', '25K', '35K']"
547,PPC-000200,"['10000', '10r', '12000', '12000HD', '20000', '30000']"
548,PPC-000340,"['10000', '10r', '12000', '12000HD', '20000', '30000', '15K']"
549,PPC-000350,"['10000', '10r', '12000', '12000HD', '20000', '30000']"
550,CA594-00410,['HP Indigo 100K Digital Press']
551,CA494-00221,"['HP Indigo 20000 Digital Press', 'HP Indigo 25K Digital Press']"
552,CA494-00291,"['20k', '25k']"
553,CA494-09040,['HP Indigo 35K Digital Press']
554,CA494-09020,['HP Indigo 35K Digital Press']
555,CA494-09070,['HP Indigo 35K Digital Press']
556,PPC-000360,"['10000', '12000', '20000', '30000', '15K', '25K', '35K', '100K']"
557,PPC-000370,"['000 ', '10000', '12000', '15K', '20000', '25K', '30000', '35K', '100K']"
558,PPC-000380,"['12000', '20000', '30000', '15K', '25K', '35K', '100K']"
559,PPC-000390,"['10000', '12000', '20000', '30000', '15K', '25K', '35K', '100K']"
560,PPC-000400,"['10000', '12000', '15K', '20000', '25K', '30000', '35K', '100K']"
561,CA494-25070,"['10000', '12000', '20000', '30000', '50000 ']"
562,CA494-25040,"['10000', '12000', '20000', '30000', '50000 ']"
563,CA494-25090,"['10000', '12000', '20000', '30000', '50000 ']"
564,PPC-000420,"['10000', '10r', '12000', '12000HD', '15K', '30000', '35K']"
565,PPC-000430,"['20000', '25K', '50000']"
566,PPC-000440,['100K']
567,CA594-00280,['HP Indigo 100K Digital Press']
568,CA594-00260,['HP Indigo 100K Digital Press']
569,CA594-00240,['HP Indigo 100K Digital Press']
570,CA594-00310,['HP Indigo 100K Digital Press']
571,CA594-00300,['HP Indigo 100K Digital Press']
572,CA494-08880,"['HP Indigo 15K Digital Press', '15K HD', 'HP Indigo 15K Digital Press', '15K HD', 'HP Indigo 15K Digital Press', '15K HD', 'HP Indigo 15K Digital Press', '15K HD', '15K ', 'HP Indigo 15K Digital Press', '15K HD']"
573,CA494-08870,['HP Indigo 15K Digital Press']
574,CA494-08860,['HP Indigo 15K Digital Press']
575,CA494-08850,"['HP Indigo 15K Digital Press', '15K HD']"
576,CA394-30930,"['7K ', '7eco', '7K ', '7eco']"
577,CA394-30920,"['7K ', '7eco']"
578,CA394-30910,"['7K ', '7eco']"
579,CA394-30900,"['7K ', '7eco']"
580,CA394-30890,"['7K ', '7eco']"
581,CA394-30970,"['7K ', '7eco', '7K ', '7eco']"
582,CA394-30960,"['7K ', '7eco']"
583,CA394-30950,"['7K ', '7eco']"
584,CA394-30940,"['7K ', '7eco']"
585,CA394-31090,"['6900', '6800 ']"
586,PPC-000480,"['10000', '12000', '12000HD', '15K', '30000', '10r']"
587,PPC-000470,"['0004 ', 'WS6800', 'WS6600', '6K', '6900 ']"
588,PPC-000460,"['10000', '12000', '12000HD', '15K', '30000', '10r']"
589,TS5OM-00003,"['25K', '35K ']"
590,TS5OM-00004,['HP Indigo 100K Digital Press']
591,TS3OM-00003,"['6K', '8K']"
592,PPC-000510,"['6X00', '7X00', '8X00']"
593,TS3OM-00007,"['7000', '7000 ', 'HP Indigo 7500 Digital Press', 'HP Indigo 7600 Digital Press', 'HP Indigo 7800 Digital Press', 'HP Indigo 7900 Digital Press', 'HP Indigo 7r Digital Press', 'HP Indigo 7K Digital Press', '7eco']"
594,CN-2587,"['HP Indigo 10000 Digital Press', 'HP Indigo 12000 Digital Press', 'HP Indigo 15K Digital Press', 'HP Indigo 15K Digital Press', 'HP Indigo 20000 Digital Press', 'HP Indigo 25K Digital Press', 'HP Indigo 30000 Digital Press', 'HP Indigo 35K Digital Press', 'HP Indigo 50000 Digital Press', 'HP Indigo 100K Digital Press', 'HP Indigo 8000 Digital Press', 'HP Indigo 7900 Digital Press', '6800 ', '6600 ']"
595,CN-2593,"['HP Indigo 20000 Digital Press', 'HP Indigo 25K Digital Press']"
596,CN-2596,"['HP Indigo 100K Digital Press', 'HP Indigo 15K Digital Press', '15K HD', 'HP Indigo 35K Digital Press']"
597,CA394-28120,"['HP Indigo 8000 Digital Press', 'HP Indigo 8K Digital Press']"
598,CN-2586,"['HP Indigo 100K Digital Press', 'HP Indigo 15K Digital Press', '15K HD']"
599,CA394-11393,['WS6000']
600,CA394-11383,"['HP Indigo WS6000 Digital Press', 'HP Indigo WS6000 Digital Press']"
601,CA394-11343,['WS6000']
602,CA394-11353,['WS6000']
603,CA394-11333,['WS6000']
604,CA394-11363,['WS6000']
605,CA394-11403,['WS6000']
606,CA394-11413,['WS6000']
607,CA494-22070,"['HP Indigo10000 Digita lPress', 'HPIndigo12000/12000 HD Digital Press', 'HP Indigo 15K/15K HD Digital Press', 'HP Indigo 30000 Digital Press', 'HP Indigo 100K Digital Press']"
608,CA494-22080,['12000 ']
609,CA494-22100,"['HPIndigo10000 Digital Press', 'HPIndigo12000/12000HD Digital Press', 'HPIndigo15K/15KHD Digital Press', 'HPIndigo30000 Digital Press', 'HPIndigo100K Digital Press']"
610,CA494-22110,"['HP Indigo 10000 Digital Press', '12000', '12000 HD', '15K', '15K HD', 'HP Indigo 30000 Digital Press', 'HP Indigo 100K Digital Press']"
611,CA494-22120,"['2023', '10000', '12000', '12000 HD', '15K', '15K HD', 'HP Indigo 30000 Digital Press', '100K']"
612,CA494-22040,"['HP Indigo 10000 Digital Press', '12000', '12000 HD', '15K', '15K HD', 'HP Indigo 30000 Digital Press', 'HP Indigo 100K Digital Press']"
613,CA494-22050,"['HP Indigo 10000 Digital Press', '12000', '12000 HD', '15K', '15K HD', 'HP Indigo 30000 Digital Press', 'HP Indigo 100K Digital Press']"
614,CA494-22060,"['10000 ', '12000', '12000 ', '15K', '15K ', '30000 ', '100K ']"
615,TS5OM-00007,['200K ']
616,CN-2657,"['7000 ', 'HP Indigo 7500 Digital Press', 'HP Indigo 7600 Digital Press', 'HP Indigo 7800 Digital Press', 'HP Indigo 7900 Digital Press', 'HP Indigo 7r Digital Press', '7eco', 'HP Indigo 7K Digital Press', '6000 ', '6600 ', '6800 ', 'HP Indigo 6900 Digital Press', 'HP Indigo 6r Digital Press', 'HP Indigo 6K Digital Press', 'HP Indigo 8000 Digital Press', 'HP Indigo 8K Digital Press', 'HP Indigo W7200 Digital Press', 'HP Indigo W7250 Digital Press']"
617,TS4OM-00004,"['6800', '6900 ', 'HP Indigo 20000 Digital Press', 'HP Indigo 25K Digital Press', 'HP Indigo 35K Digital Press', 'HP Indigo 6K Digital Press']"
618,CA394-10400,"['7600', '7800', '7900', '7r', '7K', '7eco', 'HP Indigo 7600 Digital Press', 'HP Indigo 7800 Digital Press', 'HP Indigo 7900 Digital Press', 'HP Indigo 7r Digital Press', 'HP Indigo 7K Digital Press', '7eco']"
619,CA394-10410,"['7600', '7800', '7900', '7r', '7K', '7eco']"
620,CA394-10420,"['7600', '7800', '7900', '7r', '7K', '7eco']"
621,CA394-10430,"['7600', '7800', '7900', '7r', '7K', '7eco']"
622,CA394-10440,"['7600', '7800', '7900', '7r', '7K', '7eco']"
623,CA394-10450,"['7600', '7800', '7900', '7r', '7K', '7eco']"
624,CA394-14650,"['7600', '7800', '7900', '7r', '7K', '7eco']"
625,CA394-17780,"['7600', '7800', '7900', '7r', '7K', '7eco']"
626,TS4OM-00009,"['HP Indigo 10000 Digital Press', 'HP Indigo 15K Digital Press', 'HP Indigo 12000 Digital Press', 'HP Indigo 35K Digital Press']"
627,TS6OM-00004,"['HP Indigo V12 Digital Press', '240K', '120oK']"
628,TS6OM-00002,['HP Indigo V12 Digital Press']
